Residuals	timepoint	mouse_id
ASV1|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.823438938216447	0.176561061783553	0
ASV2|Firmicutes|Lachnospiraceae|A2.spec.	0.5936388200442	0.156398572277059	0.249962607678741
ASV3|Bacteroidota|Muribaculaceae|unknown.spec.	0.586153269616557	0.358578226841681	0.0552685035417622
ASV4|Firmicutes|Lactobacillaceae|Lactobacillus.johnsonii	0.685409278057316	0.190464032041207	0.124126689901478
ASV10|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.696962414932604	0.161928795454209	0.141108789613187
ASV11|Bacteroidota|Bacteroidaceae|Bacteroides.acidifaciens	0.295544565200011	0.550633016696055	0.153822418103934
ASV13|Firmicutes|Lactobacillaceae|Ligilactobacillus.spec.	0.476907117644639	0.410610102413325	0.112482779942036
ASV14|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.799971181405176	0.0575468856223518	0.142481932972472
ASV15|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001.spec.	0.399047474876631	0.499036102708403	0.101916422414966
ASV17|Firmicutes|Erysipelotrichaceae|Turicibacter.spec.	0.574103735025479	0.290499564754039	0.135396700220482
ASV18|Bacteroidota|Marinifilaceae|Odoribacter.spec.	0.786757973289122	0.0970682749141061	0.116173751796771
ASV27|Firmicutes|Lachnospiraceae|Marvinbryantia.spec.	0.914718712018204	5.36916575583513e-07	0.0852807510652206
ASV28|Bacteroidota|Prevotellaceae|Alloprevotella.spec.	0.795654909592706	0.204345090073925	3.33369045769065e-10
ASV33|Bacteroidota|Rikenellaceae|Rikenellaceae RC9 gut group.spec.	0.736300213973319	0.192943384029945	0.0707564019967361
ASV36|Firmicutes|Lachnospiraceae|Roseburia.spec.	0.634505341516258	0.255679618266927	0.109815040216816
ASV45|Firmicutes|Lactobacillaceae|Lactobacillus.intestinalis	0.780193521257427	0.105747115313984	0.114059363428589
ASV48|Bacteroidota|Bacteroidaceae|Bacteroides.spec.	0.40039095383047	0.463777704719362	0.135831341450168
ASV52|Firmicutes|Lactobacillaceae|Lactobacillus.gasseri	0.52746654237635	0.340543876784002	0.131989580839648
ASV53|Firmicutes|unknown|unknown.spec.	0.784718884714266	0.114187971465391	0.101093143820343
