feature	s__GGB30286_SGB43248	s__GGB30301_SGB43265	s__GGB30302_SGB43266	s__GGB30302_SGB43267	s__GGB30303_SGB43268	s__GGB30413_SGB43452	s__Atopobiaceae_bacterium_FL090493	s__Adlercreutzia_caecicola	s__Adlercreutzia_caecimuris	s__Adlercreutzia_mucosicola	s__Adlercreutzia_muris	s__Eggerthellaceae_bacterium	s__Enterorhabdus_sp_P55	s__GGB30048_SGB42949	s__Bacteria_unclassified_SGB41586	s__bacterium_0_1xD8_82	s__bacterium_1XD42_1	s__bacterium_1XD42_54	s__bacterium_1XD42_76	s__bacterium_1xD8_48	s__bacterium_D16_29	s__bacterium_D16_54	s__bacterium_D16_63	s__bacterium_D16_76	s__GGB31171_SGB44462	s__GGB28955_SGB41663	s__GGB28887_SGB41568	s__GGB28888_SGB41569	s__GGB28904_SGB41597	s__GGB28948_SGB41654	s__Bacteroidaceae_bacterium	s__Bacteroides_acidifaciens	s__Bacteroides_caecimuris	s__Bacteroides_uniformis	s__GGB28265_SGB40817	s__GGB24132_SGB35935	s__GGB24146_SGB35950	s__GGB24149_SGB35953	s__GGB27872_SGB40306	s__GGB27873_SGB40307	s__GGB27885_SGB40319	s__GGB27890_SGB40324	s__GGB27892_SGB40326	s__GGB27893_SGB40327	s__Duncaniella_dubosii	s__Duncaniella_freteri	s__Duncaniella_muris	s__GGB14013_SGB21440	s__GGB14014_SGB21441	s__GGB14022_SGB21449	s__Muribaculaceae_bacterium	s__Muribaculaceae_bacterium_Isolate_013_NCI	s__Muribaculaceae_bacterium_Isolate_110_HZI	s__Muribaculum_gordoncarteri	s__Muribaculum_intestinale	s__Paramuribaculum_intestinale	s__GGB28248_SGB40791	s__Odoribacter_sp_Z80	s__Prevotella_sp_PCJ2	s__Alistipes_sp	s__GGB24102_SGB35895	s__GGB24102_SGB40205	s__GGB27776_SGB40190	s__GGB27778_SGB40192	s__GGB27791_SGB40207	s__GGB27792_SGB40208	s__Rikenellaceae_bacterium	s__Parabacteroides_distasonis	s__Parabacteroides_goldsteinii	s__GGB31109_SGB44380	s__GGB27898_SGB40333	s__GGB14001_SGB21428	s__GGB27851_SGB40285	s__GGB23844_SGB35575	s__GGB27861_SGB40295	s__GGB27866_SGB40300	s__GGB27929_SGB40368	s__Mucispirillum_schaedleri	s__Lactobacillus_intestinalis	s__Lactobacillus_johnsonii	s__Lactobacillus_taiwanensis	s__Ligilactobacillus_murinus	s__Limosilactobacillus_reuteri	s__Streptococcus_danieliae	s__GGB31438_SGB44768	s__GGB31439_SGB44769	s__GGB31701_SGB45057	s__GGB31851_SGB45231	s__GGB31853_SGB45233	s__GGB42343_SGB59511	s__GGB42344_SGB59512	s__GGB28955_SGB41664	s__GGB28956_SGB41665	s__GGB28959_SGB41668	s__GGB28893_SGB41574	s__GGB28903_SGB41594	s__GGB28330_SGB40904	s__GGB28384_SGB40964	s__GGB28386_SGB40966	s__GGB28393_SGB40973	s__GGB28394_SGB40974	s__GGB28428_SGB41011	s__GGB28431_SGB41014	s__GGB28433_SGB41016	s__GGB28437_SGB41020	s__GGB28779_SGB41432	s__GGB28881_SGB41561	s__GGB28929_SGB41629	s__GGB28934_SGB41635	s__GGB28945_SGB41650	s__GGB28949_SGB41655	s__GGB28980_SGB41692	s__GGB28996_SGB41712	s__GGB29002_SGB41718	s__GGB29003_SGB41719	s__GGB29004_SGB41721	s__GGB29531_SGB42317	s__GGB29546_SGB42338	s__GGB30142_SGB43067	s__GGB30408_SGB43438	s__GGB28402_SGB40984	s__GGB28404_SGB40986	s__GGB28416_SGB40998	s__GGB28422_SGB41005	s__Candidatus_Arthromitus_sp_SFB_mouse	s__Clostridiaceae_bacterium	s__Clostridiaceae_unclassified_SGB41645	s__GGB28988_SGB41701	s__GGB28989_SGB41702	s__GGB30145_SGB43072	s__GGB30147_SGB43074	s__Emergencia_sp_1XD21_10	s__Clostridiales_bacterium	s__Acetatifactor_muris	s__Dorea_sp_5_2	s__GGB25041_SGB36960	s__GGB28621_SGB41239	s__GGB28763_SGB41411	s__GGB28766_SGB41417	s__GGB28769_SGB41421	s__GGB28772_SGB41425	s__GGB28790_SGB41443	s__GGB28793_SGB41446	s__GGB28798_SGB41451	s__GGB28803_SGB41457	s__GGB28807_SGB41461	s__GGB28836_SGB41496	s__GGB28841_SGB41505	s__GGB28846_SGB41513	s__GGB28849_SGB41516	s__GGB28851_SGB41518	s__GGB28861_SGB41531	s__GGB28868_SGB41542	s__GGB28869_SGB41543	s__GGB28870_SGB41546	s__GGB28870_SGB41549	s__GGB28873_SGB41553	s__GGB28875_SGB41555	s__GGB28879_SGB41559	s__GGB28916_SGB41612	s__GGB28926_SGB41623	s__GGB28927_SGB41625	s__GGB28963_SGB41672	s__GGB28968_SGB41679	s__GGB29005_SGB41723	s__GGB29006_SGB41724	s__GGB29006_SGB41725	s__Lachnospiraceae_bacterium	s__Lachnospiraceae_bacterium_28_4	s__Lachnospiraceae_bacterium_A2	s__Lachnospiraceae_bacterium_A4	s__Lachnospiraceae_bacterium_MD308	s__Lachnospiraceae_bacterium_MD335	s__Lachnospiraceae_bacterium_WCA_9_b2	s__Lachnospiraceae_unclassified_SGB41498	s__Roseburia_sp_1XD42_69	s__Schaedlerella_arabinosiphila	s__Oscillibacter_sp_1_3	s__Romboutsia_ilealis	s__Acutalibacter_muris	s__Anaerotruncus_colihominis	s__GGB29550_SGB42344	s__GGB30091_SGB43003	s__GGB30093_SGB43006	s__GGB30295_SGB43259	s__GGB30297_SGB43261	s__GGB30444_SGB43493	s__GGB30445_SGB43494	s__GGB30448_SGB43502	s__GGB30448_SGB43504	s__GGB30451_SGB43508	s__GGB30454_SGB43514	s__GGB30454_SGB43516	s__GGB30457_SGB43521	s__GGB30457_SGB43523	s__GGB30461_SGB43530	s__GGB30461_SGB43533	s__GGB30461_SGB63209	s__GGB30466_SGB43541	s__GGB30466_SGB43546	s__GGB30473_SGB43557	s__GGB30475_SGB63182	s__GGB3171_SGB4185	s__Neglecta_sp_X4	s__Pseudoflavonifractor_sp_60	s__Faecalibaculum_rodentium	s__GGB31184_SGB44478	s__Turicibacter_sp_TS3	s__Firmicutes_bacterium_ASF500	s__GGB30667_SGB43809	s__Parasutterella_excrementihominis	s__Turicimonas_muris	s__GGB28308_SGB40878	s__GGB28310_SGB40880	s__GGB28317_SGB40889	s__Helicobacter_hepaticus
220500001177-B06	0.08438	0.03266	0.0155	0.03997	0.02945	0.02442	0.02112	0.00139	0.03136	0.04055	0	0	0.01058	0.00038	0.65428	0	0.00515	0.00025	0.03259	0.08092	0.02602	0	0.02784	0.00779	0	0.00851	0.03221	0.04914	0.10337	0.04123	0.25579	0.13277	0.15663	0.2681	0.00078	0.98743	0.72598	0.37053	0.44438	0.02974	0.07196	0.29575	1.27468	0.27739	3.5032	0.84151	2.91532	0.79498	9.31478	0.61427	16.18027	2.48933	1.82355	7.03605	0.62574	4.35745	1.11489	1.41379	0.0491	0.30772	2.73723	1.46774	0.29997	5.3616	0.27025	1.47659	0.92079	0.2509	0.00319	0.55842	7.48261	0.965	0	1.18238	0.27705	0.76211	0.57116	0.19213	0.01025	0.05728	0.00846	1.0704	0.01934	0	0	0.27597	0	0.03907	0.035	0.04643	0	0	0.01703	0.02807	0.26773	0.06747	0.04827	0.34544	0.00885	0	0.0141	0.01976	0.00212	0.03475	0.07773	0.3317	0	0.23858	0.04817	0	0.01835	0.00148	0.22989	0.35935	0.09926	0	0.06299	0.23172	0.00095	0.04486	0	0.39433	0.37228	0.09513	0	0.02811	0.02076	0.39497	0.08219	0.01008	0	0.09599	0.6276	0.00025	0	0.46821	0.02934	0.02486	0.0251	0	0	0.13544	0.0391	0	0.029	0.09036	0.93244	0.03155	0.03975	0.07269	0.06845	0.00336	0	0.07472	0.05391	0.0389	0	0.00502	0	0.2277	0.0399	0.02668	0.03148	0.01985	0	0	0.06818	0.32661	0	0.11341	1.03755	0.01982	0.20389	0.09778	0.79578	0.1684	0	0.04682	0	0	0	0	0.1615	0.04983	0	0.04754	0	0.06067	0.06248	0.04807	0.06714	0.05489	0	0.4709	0.10231	0.05385	0.00648	0.00168	0.03541	0.01479	0.17194	0.01449	0.25424	0.04158	0	0.01587	0	0	0	0.03431	0.02199	0.30821	0.00985	0.0828	0	1.28163
220500001177-B07	0.15882	0.12206	0.0653	0.12757	0.15653	0	0.00273	0.01598	0.1312	0.25329	0.0237	0.00582	0.12083	0.02505	2.49161	0.04188	0.0445	0	0.1455	0.007	0.07089	0.16933	0.14279	0.07062	0	0.25032	0.00656	0.42724	3.06101	0.30118	0.17163	0.0486	0.01114	0	0.04747	0.12699	0.07042	0.08096	0.07535	0	0.01124	0.05935	0.04791	0.01445	0	1e-04	1.15592	0.03683	0	0.0028	5.16892	0.01006	0.51781	1.36623	0.11218	1.45193	0.7251	0.63224	0	0	1.33052	1.10118	0.03947	3.09992	0.02176	0.27996	0.14386	0.00761	0	0.26326	2.49465	0.03358	0	0.11545	0.15239	0.27625	0.08497	0.91473	0.32499	0.61458	0	0.3267	0.62037	0	0	0	0	0.44986	0	0.03131	0.08852	0	0.14965	0.15154	0.33036	0.3179	0.17817	0.39032	0.017	0	0.05754	0.48084	0.22048	0.20101	0.01169	0.17284	0.05789	0.01343	0.0623	0.02868	0.38568	0.40098	0	0.80124	0.8108	0	0.1483	0.12082	0	1.18931	0.15527	0.10249	0	0.54998	0	1.03196	0.11913	0.02193	0.00547	0.00315	0.0073	0	0.00163	0.07117	0.08824	0.05262	0.03315	0	0.42665	0.02585	0.01509	1.60099	0.29321	1.31691	0.83347	0.42393	0.29691	0	0.54135	1.87085	2.38082	0	0.0083	1.12666	0.8503	0.16907	1.57076	0	0	0.18938	0.14034	1.32402	0.45116	0.10905	17.18538	0	0.35711	4.39733	0.08628	8.89715	3.79136	0.07011	0.47179	0	0.2174	0	0.26061	0.06625	0	0.58998	0	0.00699	0.9557	0.14245	0.0054	0.12907	0	0.04672	0.04457	0.04494	0.19569	0.87801	0.15656	0.09769	0.30116	0.01483	0.10455	0.00236	0.15134	0.16417	0.1253	0.02845	0.00206	0.04644	0.02128	0	0	0	0.01287	0.00397	0.01534	0	0.01733	0.9455	0.03004	0.79983
220500001177-B08	0.06254	0.06771	0.22364	0.04069	0.03299	0.06572	0.23074	0.07843	0.52468	0.59749	0.07919	0.01113	0.21134	0.12211	0.18202	0.02984	0.02097	0.13029	0.04295	0.00516	0.07166	0.03019	0.05387	0.02138	0.0371	0.04255	0.04808	0.15902	0.4591	0.05383	0.03519	0.27159	0.06635	0.02615	0.00072	0.42637	0.28737	0.23818	0.20028	0.01918	0.05487	0.16418	0.15502	0.18801	3.58597	0.90278	2.75596	0.18121	0.02386	2.09363	12.18078	0.16063	0.83478	4.82305	0.29999	4.55802	1.25916	1.02156	0.01594	0.6073	5.87124	1.30914	0.21071	10.11102	0.08832	2.67088	0.29764	0.07517	0.00264	0.63257	3.84279	0.33708	0	0.37077	0.43193	0.76144	0.90827	0.28746	0.00513	0.48497	1.08712	2.178	0.88668	0.0012	1.30285	0	0	0.02399	0.07065	0.07609	0.06361	0	0.0752	0.06831	0.03058	0.33053	0.14394	1.33328	0.02083	0	0.0716	0.23674	0.073	0.09896	0.10366	0.778	0.01126	0.08414	0.08967	0.00846	0.11402	0.06659	0	0.42783	0.04747	0.03018	0.06434	0.25378	0.05744	0.09318	0	0.28514	1.01334	0.07679	0.0617	0.05152	0.04282	0.08104	0.21178	0.01658	0.02362	0.24051	0.81174	0.0092	0.08322	1.1327	0.08178	0.0459	0.10753	0.02182	0.00131	0.07427	0.10541	0	0.14316	0.05234	0.16025	0	0.15954	0.10364	0.06658	0	0.08942	0.08405	0.1519	0.05191	0.1995	0.0288	0.0062	0.01415	0.10822	0.2047	0.03564	0.03261	0.00065	0	0	0.60964	0	0.53972	0.85603	0.2201	0.05094	0.07065	0.68471	0.24179	0.01287	0.11776	0	0.02174	0	0	0.15007	0.1003	0.0055	0.10902	0	0.06628	0.08128	0.04378	0.02873	0.19884	0.10343	0.03331	0.17117	0.06005	0.08617	0.01601	0.07538	0.07461	0.12616	0.03084	0.07264	0.05596	0.00523	1.22218	0.10517	4.64028	0.00216	0	0.02401	0.35194	9e-05	0.10705	0.00173	1.44987
220500001177-B09	0.25301	0.00981	0.10312	0.08602	0.02802	0.06867	0.23016	0.09388	0.5861	0.55471	0.03155	0.02626	0.33151	0.09011	1.28656	0.02033	0.04607	0.00383	0.13728	0.06258	0	0.08954	0.38459	0.0459	0.03209	0.13879	0.15799	0.31446	0.6538	0.08697	3.91427	0.07074	0.05198	0.02635	0.00172	0.3811	0.27941	0.24214	0.37124	0.00622	0.13764	0.12885	0.38055	0.11858	3.46806	0.52441	1.27071	0.19989	0	1.66037	19.44403	0.01397	0.71397	1.30581	0.4834	5.65219	1.17759	0.31531	0.04809	0.03636	2.5235	3.00355	0.13593	3.55231	0.01981	0.78253	0.20778	0.05762	0.00475	0.32673	1.67778	0.18245	0	0.31422	0.3642	0.6653	0.05002	0.18328	0.46836	4.02631	0.37721	1.15285	1.61134	0.00716	0	0.1751	0.00328	0.19328	0.04206	0.0727	0.01528	0	0.05807	0.12356	0.05327	0.05608	0.30606	0.23716	0.02086	1.58964	0.05007	0.07268	0.06209	0.03401	0.07347	0.18093	0.03156	0	0.00237	0	0.09138	0.30505	0.05539	0.54228	0.13468	0	0.12925	0.42889	0	0.09909	0	1.37636	0.50178	0.15354	0	0.3011	0.13007	1.82541	1.00362	0.04877	0.04456	0.1871	0.74742	0.00025	0.10353	0.67116	0.06556	0.00443	0.08286	0.00642	0.01929	0.00951	0.06492	0	0.00379	0.0317	0.48335	0.03889	0.1153	0.34055	0.06223	0	0	0.05097	0.02652	0	0	0.00284	0.00449	0.15256	0.05066	0.37541	0.04991	0.05304	0.08446	0	0.03192	0.60589	0.75004	2.2538	4.32728	1.32113	0.10004	0.24002	0.85565	0.03908	0.01066	0.03816	0	0.38588	0.00115	0	0.32249	0.16753	0.00631	0.061	0	0.08764	0.13072	0.02377	0.01965	0.9966	0.03058	0.13944	0.15958	0.07074	0.07207	0.01254	0.00585	0.01177	0.10792	0.09504	0.02347	0.05769	0	0.0106	0.09537	0	0.03838	0.00828	0.00436	0.42999	0.01391	1.01602	0.02113	0.17404
220500001177-C01	0.03998	0.37049	0.02122	0	0.33292	0	0	0	0.00667	0.01447	0	0	0.00116	0	1.58865	0	0.11559	0	0.08647	0	0.13555	0.33409	0	0.00535	0	0.3875	0	0.59429	0.38177	0.14056	0.83479	0.18567	0.0244	0	1.20301	0.05803	0.00349	0.02251	0	0	0.01996	0.16255	0.02561	0.03786	0	0.00336	0.56267	0.10094	0.21191	1.86863	1.82399	0.05421	0.27712	0	0.07285	0.48496	2.51475	0.20568	0.48555	0.01192	5.79084	3.53616	0.01012	7.01109	0.01694	0.23205	0.09282	0.05384	0	0.4748	0.80115	0	0	0.00342	0.02305	0.173	0.18088	3.99073	0.00569	0.04954	0	0.00146	0.00777	0	0	0	0	0.45135	0	0.11361	0	0	0.18242	0.1364	0.25007	3.14338	0.012	1.82252	0.02012	0	0.55702	0.81756	0.14284	0	0.02914	0	0.0125	0	0.25392	0.00169	0.4318	0	0	0.40413	0.06872	0	0.23002	0	0	0.98984	0	0	3.70406	0.68871	0.2822	0.58693	0	0	0	0	0	0	0	2e-04	0.57386	0.04627	0.02188	0	0.08093	0	0	6.71921	0.0154	0.00692	0	1.33101	1.03311	0	0.30749	0.09807	0.28391	0	0	0.16219	0.3884	0	0.01118	0	0	0	0.00309	0.11055	0.05069	0.09898	23.3146	0	0.59237	0.20691	0	0.45925	2.68834	0	0.31817	0	0	0	0.27844	0.02266	0	0.012	0.01856	0	0.3692	0.0441	0.11117	0.18403	0	0	0	0.92638	0.8337	0	0.00178	0	0.78964	0.0043	0.01896	0.01045	0.09438	0.22195	0.06664	0	0	0.0341	0.00042	0	0	0	0.00711	0.03342	0	0.03159	0.10134	0.3874	0.08251	2.78934
220500001177-C02	0.24859	0.12715	0.09673	0.07318	0.20079	0	0.00548	0.0051	0.08192	0.06744	0	0	0.01174	0.0284	2.89851	0.00538	0.09017	0	0.05961	0	0.03517	0.01752	0.0147	0	0	0.75318	0.15206	0.73072	0.79039	0.05259	0.83288	0.17331	0.0563	0	0.37225	0.33665	0.01224	0.07069	0.05286	0.00212	0.04753	0.08557	0.07705	0.07426	0.02146	0.10496	1.41529	0.3781	0.52862	5.05139	3.655	0.1019	3.03181	0.94707	0.27289	1.7807	0.65663	0.733	0.16307	0.01649	6.5944	3.86321	0.06234	8.85857	0.02422	0.47561	0.19258	0.06879	0.00685	0.92623	2.48585	0.03276	0	0.32799	0.06776	0.54131	0	2.53113	0.11871	0.42861	0.02396	0	0.12495	0	0	0	0	0.66685	0	0	0	0	0.06119	0.01481	0.86559	1.70292	0.02726	0.83133	0.07327	0	0.0427	0	0.29969	0	0.03912	0.35486	0.04733	0	0.15988	0.02561	0.16654	0.10965	0	0.2479	0.41648	0.94976	0.18602	0.22783	0	0.41867	0.01068	0.00538	2.47562	0.68039	0.8649	0.60417	0.10207	0	0.02048	0	0	0.01565	0.01404	0.00105	0.27097	1.7346	0.0451	0.02509	0.11561	0	0.02926	3.34865	0.24342	0.49021	0	1.35243	1.49151	0	0.10301	0.28703	1.11166	0	0	0.30079	0.28539	0.00895	0	0.0261	1.30119	0.02368	0.12893	0.07914	0.24111	0.04891	9.92045	0	0	0.9324	0.10321	0.02748	0.08073	0.0073	0.37704	0	0	0	0.01355	0.00173	0	0.42728	0	0	0.23047	0.09458	0	0.04513	0.11519	0.09748	0	0.29456	0.5745	0	0.0887	0.00703	0.43594	0.04427	0.09812	0.00374	0.09756	0.24762	0.09305	0.00162	0.10221	0.01669	8e-04	0.00122	0	0	0	0	0	0.0846	0.04427	0.27881	0.0528	3.78102
220500001177-C03	0.1738	0.17177	0.18955	0.08771	0.21443	0	0.05217	0	0.03459	0.03218	0	0.00065	0.00597	0.01366	2.86181	0	0.13362	0	0.07857	0.42783	0.25487	0.11324	0.00248	0.02234	0	0.22596	0.00372	0.81452	0.13426	0.20809	4.5407	0.59709	0.05889	0.04737	0.94991	1.17096	0.58663	0.5156	0.33451	0.10282	0.06291	0.21955	0.10128	0.29751	1.16763	0.08244	3.33045	0.35869	3.96543	3.90182	9.75496	0.89603	5.72137	0	1.7321	4.90605	0.07779	0.09366	0.38338	0.24994	1.99457	0.90403	0.21114	1.04239	0.18768	0.52487	1.09294	0.43785	0.05974	0.1757	7.41131	0.72467	0	0.49995	0.15787	0.22079	0.33455	1.30851	0	0	0.01099	0	0.00597	0	0	0	0	0.0646	0	0.04172	0	0	0.08267	0.04446	0	0.9161	0.02007	0.20151	0.05351	0.00132	0.05371	0.01369	0.04955	0.31685	0.12586	0.24317	0.05037	0	0.15197	0	0.10939	0.01949	0.0113	0	0.21467	0	0.17474	0.41848	0	0.3679	0	0.106	0.42909	0.60386	0	0.19512	0.18505	0.7549	0.0111	0.01161	0	0.03304	0.20331	0.00598	0	0.04959	0.09522	0	0.07191	0.05108	0.03614	0	0.55315	0	0.35044	0.03498	0	0.01253	0.21501	0.01228	0.58697	0	0	0.04504	0.29843	0.0834	0	0.03383	0.29644	0	0.34348	0.21564	0.20702	0.06241	0.89132	0	0	0.20039	0	3.73724	5.14373	0.04963	0.77729	0	0.00271	0	0	0.02864	0	0.01861	0	0	0.33234	0.12314	0	0.21005	0	0.18594	1.28757	0.14375	0.09136	0.46864	0.46865	0.06988	1.44273	0.13718	0	0.0316	0.184	0.11071	0.15539	0.0238	0.33733	0.04341	0	0.18517	0	0.04899	0.00537	0.30933	0.01515	0.38963	0.13502	0.58715	0.17058	1.73049
220500001177-C04	0.35687	0.44083	0.36395	0.25342	0.2802	0	0.00076	0	0.01126	0.01537	0	0	0	0	1.54555	0.01735	0.21858	0	0.13638	0	0.03684	0.01812	0.00462	0.01769	0	0.15265	0.67387	0.45649	0.2974	0.15106	0.06882	0.29055	0.06129	0.47431	0.08483	0.68778	0.34489	0.16363	0.37136	0.03026	0.00454	0.1378	0.40614	0.05946	0.79511	0.25369	2.24693	0.88753	3.00271	1.21115	4.028	1.16139	1.04817	0.99704	0.66471	1.64848	2.1131	1.35447	0	0.17296	2.62808	1.50157	0.31696	2.80962	0.01359	0.97221	0.95434	0.52671	0.0353	0.79613	4.62011	0.76847	3.19486	0.83542	0.12285	0.52704	0.3832	2.23513	0.04419	0.15218	0	0.04865	0.08788	0	0.95306	0	0.21192	0.54117	0.13126	0.0413	0.06144	0	0.08946	0.26878	0.14092	1.21998	0.07295	1.04574	0.06708	0	0.05959	0.44017	0.05638	0.4044	0.23104	0.43585	0.02664	0.58144	0.1574	0	0.5452	0.08117	0	1.06952	0.03745	0	0.3384	0.05597	0.12478	0.64021	0	0.68738	1.17041	0.38176	0	0.56992	0.02778	0.50132	0.22517	0	0.12598	0.08635	0.10881	0.01496	0.09238	0.57628	0.14585	0	0.14792	0	0	0.09172	0.80397	0	0.43536	0.48302	0.05957	0	0.8295	0.45327	0.28268	0	0.06449	0.53332	0.39986	0.08634	0.93097	0.00574	0	0	0.10289	0.21241	0.11401	0.18037	4.81925	0	0.41865	0.86846	0	2.77548	2.5091	0.13382	0.79729	0.01087	2.55645	0	0.01026	0.26319	0	0.18585	0	0.78775	0.59341	0.18513	0	0.14675	0	0.14158	0.17309	0.12444	0.31281	2.87585	0.03852	0.15751	0.51103	0.19466	0	0.1478	0.19071	0.18081	0.20737	0.04851	0.11385	0.10527	0.03111	0	0.00195	0.09024	0	0	0.04439	0.15117	0.17568	0.45377	0.13872	1.23824
220500001177-C05	0.03999	0.01565	0.02712	0.00926	0.02328	0.00912	0.01652	0.0031	0.02451	0.02774	0	0	0.01064	0	0.06195	0	0	0.00137	0.00385	0	0	0	0	0	0	0.00347	0.02789	0.02594	0.02616	0.00771	0.20356	0.27664	0.12363	0.22141	0.08988	1.7453	0.78953	0.46483	0.6033	0.06335	0.08171	0.52067	1.46549	0.13807	4.57949	0.53315	5.10308	1.20713	7.62043	4.23923	13.81113	1.89339	5.87058	3.4814	1.85329	2.70059	0.63762	0.85082	0.19802	0.1018	0.95457	1.84932	0.36751	1.91919	0.22526	1.23709	0.62179	0.17735	0.01346	0.26581	8.02812	1.2494	11.24247	0.88083	0.11088	0.48675	0	0.05728	0.2116	1.06445	0.04106	0.06258	0.24939	0	1.15711	0	0	0	0.01139	0	0.01636	0	0	0.00994	0.02882	0.01326	0.01372	0.08219	0.00326	0.01277	0.02649	0	0.00953	0.01944	0.01328	0.50532	0	0.07707	0.01054	0.00082	0.0102	0	0.01499	0.02829	0.00941	0.01003	0.03477	0.03914	0	0.01977	0.09763	0.45612	0.15071	0.02195	0	0.01062	0	0.06443	0.02037	0.00298	0	0	0.23413	0	0.01426	0.27029	0.01142	0	0.0404	0	0	0.04091	0.0135	0	0	0.0479	0.00211	0	0.0241	0.01162	0.01114	0	0	0.01562	0.01013	0.0183	0	0.0029	0.05882	0	0.01323	0.00359	0.00789	0.00309	0.16369	0.02119	0	0.09057	0	0.04875	0.42664	0.01945	0.05086	0.02506	0	0.03805	0	0.01994	0	0.0236	0	0	0.03321	0.03266	0	0.01101	0	0.01349	0.01903	0.00881	0.00471	0	0.00114	0.0314	0.05219	0.07069	0.01175	0	0.01428	0.02307	0.07581	0	0.08138	0.01151	0	0.14638	0.01226	0.01003	0.00099	0	0.04553	0.50056	0.00129	0.09887	0	0.75213
220500001177-C06	0.18958	0.06468	0.30199	0.0413	0.08636	0.02108	0.00143	0	0.00604	0.00686	0	0	0.00188	0	0.7715	0.00328	0.02253	0.00238	0.03914	0.03647	0.09903	0.01134	0.00638	0.01668	0	0.01063	0.0932	0.10843	0.41349	0.02045	0.21471	0.3812	0.12119	0.45015	0.14006	0.95362	0.34204	0.36148	0.26715	0.07098	0.06523	0.39896	0.86783	0.38547	1.73678	0.53609	2.16521	0.63911	7.02828	0.63325	10.03624	0.99309	1.4493	3.41829	0.6371	1.33397	1.42709	1.97926	0.31903	0.38229	5.60493	2.89044	0.38636	12.96288	0.45072	2.04935	1.88552	0.38886	0.0186	0.79261	3.26113	0.48813	0	1.85424	0.17551	0.68616	0.21385	0.48797	0.15612	0.2895	0.0244	0.24505	0.08311	0	0	0.05135	0	0.02466	0.06868	0.11798	0	0	0.01221	0.03943	0.14002	0.16661	0.10293	2.42978	0.06282	0.07727	0.05567	0.45379	0.2717	0.95713	0.3513	0.81326	0.00689	0.28209	0.06586	0	0.02761	0.0304	0.18064	0.28802	0.13577	0	0.07645	0.15009	0.01506	0.15391	0	1.14906	1.26036	0.32196	0.00626	0.09262	0.02728	0.152	0.0587	0.01397	0.0472	0.05336	0.18481	0.00426	0.0302	1.83998	0.04399	0	0.03794	0.00443	0	0.18977	0.20445	0.0123	0.15677	0.05015	0.13645	0.03057	0.08642	0.08574	0.05941	0.17497	0	0.13952	0.0897	0.0444	0	0.0013	0.13321	0.51022	0.01949	0.05775	0.04021	0.03637	0.0958	0.55719	0	0.307	0	0.18019	0.19788	0.02819	0.21864	0.16172	0.32165	0.2284	0.00561	0.02987	0	0.2042	0	0	0.23049	0.07718	0.00217	0.04124	0.00112	0.10993	0.24493	0.04859	0.13804	0.54424	0.12185	0.31757	0.14391	0.09003	0.10123	0.04233	0.10682	0.0289	0.14845	0.04361	0.29108	0.03765	0.00353	0	0	0.0241	0	0.22729	0.00824	0.14639	0.02564	0.18353	0.03475	1.19461
220500001177-C07	0.16853	0.19668	0.07264	0.0766	0.10376	0.00342	0	0.00611	0.1507	0.32135	0.04979	0.00239	0.09655	0	7.17122	0.04273	0.06483	0.00154	0.14435	0.13857	0.13021	0.01128	0.23376	0.06086	0	0.10227	0	0.4444	0.74341	0.07751	0.08649	0.07047	0.01336	0	0.11964	0.00656	0.00408	0.02059	0.01993	0	0	0.00263	0	0.01118	0	0.60969	0.0082	0	0	0	1.68566	0	0	0	0.02315	1.36801	1.14895	0.59797	0	0	2.13465	2.64618	0.00669	4.62943	0	0.14541	0.12738	0	0	0.52599	0.278	0.01066	0	0.19267	0.04561	0.17327	0.05176	0.34146	0.51322	1.54683	0.38828	0.55096	1.1163	0.0052	0	0.07117	0.11738	0.54669	0.32411	0.057	0.00668	0	0.11698	0.07672	0.01544	1.65951	0.28861	2.16157	0.03282	0	0.21944	0.43114	0.22053	0.09198	0.06735	0.66566	0.04214	0.00218	0.11054	0.02427	0.19436	0.53842	0	1.19056	0.10499	2.51165	0.16032	0.54255	0	0.57828	0	0.46618	2.84117	0.21735	0.37758	0.24773	0.03061	0.02565	0.49166	0.44894	0.00623	0.12146	0.00711	0.04534	0.23716	0.12551	0.06503	0	0.28546	0.00149	0.02954	3.59617	0.34452	1.64823	0.34426	1.3764	1.90375	0.02093	0.34717	1.19859	0.86224	0	0.28124	1.43778	0.63204	0.31983	0.14804	0.02318	0	1.58645	0.13454	0.68487	0.10368	0.15157	0	0	1.29942	2.38556	0	7.92629	2.24345	0.39409	1.56696	0.0485	8.151	0	0.2716	0.29268	0	0.34478	0	0	0.51808	0.11926	0.00876	0.13692	0	0.07767	0.12204	0.03313	0.69727	0.42177	0.03834	2.52074	0.60462	0.05168	0.03921	0.00772	0.14412	0.1021	0	0.05958	0	0	0.01999	0	0.00133	0	0.00025	0	0	0	0.16388	0.57124	0.12019	0.26377
